ID_PROD;REF;NUM;URL
159;01050104;1;https://www.aftgrupo.com/img_artics/1500/01050104.jpg
160;01050106;1;https://www.aftgrupo.com/img_artics/1500/01050106.jpg
161;01050108;1;https://www.aftgrupo.com/img_artics/1500/01050108.jpg
162;01050110;1;https://www.aftgrupo.com/img_artics/1500/01050110.jpg
163;01050111;1;https://www.aftgrupo.com/img_artics/1500/01050111.jpg
164;01050112;1;https://www.aftgrupo.com/img_artics/1500/01050112.jpg
165;01050113;1;https://www.aftgrupo.com/img_artics/1500/01050113.jpg
166;01050114;1;https://www.aftgrupo.com/img_artics/1500/01050114.jpg
169;01050630;1;https://www.aftgrupo.com/img_artics/1500/01050630.jpg
170;01050632;1;https://www.aftgrupo.com/img_artics/1500/01050632.jpg
171;01050634;1;https://www.aftgrupo.com/img_artics/1500/01050634.jpg
172;01050636;1;https://www.aftgrupo.com/img_artics/1500/01050636.jpg
173;01050638;1;https://www.aftgrupo.com/img_artics/1500/01050638.jpg
174;01050640;1;https://www.aftgrupo.com/img_artics/1500/01050640.jpg
175;01050642;1;https://www.aftgrupo.com/img_artics/1500/01050642.jpg
176;01050644;1;https://www.aftgrupo.com/img_artics/1500/01050644.jpg
177;01050800;1;https://www.aftgrupo.com/img_artics/1500/01050800.jpg
178;01050805;1;https://www.aftgrupo.com/img_artics/1500/01050805.jpg
179;01050810;1;https://www.aftgrupo.com/img_artics/1500/01050810.jpg
180;01050960;1;https://www.aftgrupo.com/img_artics/1500/01050960.jpg
181;01050970;1;https://www.aftgrupo.com/img_artics/1500/01050970.jpg
182;01050975;1;https://www.aftgrupo.com/img_artics/1500/01050975.jpg
183;01050980;1;https://www.aftgrupo.com/img_artics/1500/01050980.jpg
184;01050985;1;https://www.aftgrupo.com/img_artics/1500/01050985.jpg
185;01050990;1;https://www.aftgrupo.com/img_artics/1500/01050990.jpg
214;01060100;1;https://www.aftgrupo.com/img_artics/1500/01060100.jpg
244;01120010;1;https://www.aftgrupo.com/img_artics/1500/01120010.jpg
248;01130001;1;https://www.aftgrupo.com/img_artics/1500/01130001.jpg
249;01130005;1;https://www.aftgrupo.com/img_artics/1500/01130005.jpg
250;01170885;1;https://www.aftgrupo.com/img_artics/1500/01170885.jpg
251;01170890;1;https://www.aftgrupo.com/img_artics/1500/01170890.jpg
253;01170900;1;https://www.aftgrupo.com/img_artics/1500/01170900.jpg
257;01170920;1;https://www.aftgrupo.com/img_artics/1500/01170920.jpg
258;01170925;1;https://www.aftgrupo.com/img_artics/1500/01170925.jpg
259;01170930;1;https://www.aftgrupo.com/img_artics/1500/01170930.jpg
261;01170940;1;https://www.aftgrupo.com/img_artics/1500/01170940.jpg
265;01170960;1;https://www.aftgrupo.com/img_artics/1500/01170960.jpg
266;01170965;1;https://www.aftgrupo.com/img_artics/1500/01170965.jpg
267;01170970;1;https://www.aftgrupo.com/img_artics/1500/01170970.jpg
268;01170975;1;https://www.aftgrupo.com/img_artics/1500/01170975.jpg
269;01170980;1;https://www.aftgrupo.com/img_artics/1500/01170980.jpg
273;01171005;1;https://www.aftgrupo.com/img_artics/1500/01171005.jpg
274;01171010;1;https://www.aftgrupo.com/img_artics/1500/01171010.jpg
275;01171015;1;https://www.aftgrupo.com/img_artics/1500/01171015.jpg
276;01171020;1;https://www.aftgrupo.com/img_artics/1500/01171020.jpg
277;01171025;1;https://www.aftgrupo.com/img_artics/1500/01171025.jpg
278;01171030;1;https://www.aftgrupo.com/img_artics/1500/01171030.jpg
300;01190070;1;https://www.aftgrupo.com/img_artics/1500/01190070.jpg
309;01190310;1;https://www.aftgrupo.com/img_artics/1500/01190310.jpg
310;01190315;1;https://www.aftgrupo.com/img_artics/1500/01190315.jpg
313;01190420;1;https://www.aftgrupo.com/img_artics/1500/01190420.jpg
313;01190420;2;https://www.aftgrupo.com/img_artics/1500/01190420_1.jpg
314;01190500;1;https://www.aftgrupo.com/img_artics/1500/01190500.jpg
315;01190505;1;https://www.aftgrupo.com/img_artics/1500/01190505.jpg
