ID_CATEGORIA;NOMBRE_CATEGORIA;CATEGORIA_PADRE
1157;Llaves de gancho articuladas;22
23;Herramientas electricas;8
1151;Sierras eléctricas;23
29;Fresadoras eléctricas;23
30;Pistolas termocolantes;23
32;Polipastos eléctricos de elevación;23
33;Aspiradores eléctricos y accesorios;23
34;Bombas de agua;23
35;Hormigoneras;23
37;Hidrolimpiadoras y accesorios;23
1144;Esmeriladoras;23
268;Accesorios para herramientas eléctricas;23
269;Brocas para madera;268
271;Brocas para paredes;268
272;Brocas punta diamante;268
274;Portabrocas y llaves;268
275;Cepillos / Bonetes / Platos de caucho;268
278;Hojas de sierra;268
279;Cuchillas y correas;268
576;Juegos y maletines de brocas;268
339;Fresas;268
340;Baterias y cargadores;268
341;Varios;268
349;Brocas Sds plus / Sds Max;268
579;Brocas para cerámica y mármol;268
580;Brocas para cristal;268
581;Brocas Multiusos;268
582;Brocas Escalonadas;268
583;Brocas para grés porcelánico;268
716;Brocas Acero rápido HSS (Para hierro);268
717;Brocas Titanio HSS (Para hierro);268
718;Brocas Cobalto HSS (Para hierro);268
719;Brocas HSS Sprint (Para hierro);268
720;Brocas HSS Super (Para hierro);268
877;Coronas bimetal;268
878;Coronas widia;268
879;Coronas para madera;268
880;Soportes para coronas;268
881;Juegos de coronas;268
882;Accesorios lija;268
883;Discos lija;268
884;Lijas recambio electroportátiles;268
885;Abanicos lija;268
886;Discos de láminas;268
887;Muelas de corindón;268
888;Muelas de carburo de silicio;268
889;Muelas para esmeriladoras;268
891;Discos de corte abrasivos;268
892;Discos de corte diamante;268
1123;Brocas Hss Sprint Master (Para hierro);268
1124;Brocas Hss Pro (Para hierro);268
1125;Brocas para granito;268
1145;Amoladoras;23
1146;Multiherramientas;23
1149;Lijadoras y Pistolas decapantes;23
1147;Multiherramientas (Accesorios);23
1148;Amoladoras (Accesorios);23
1150;Cepillos eléctricos;23
492;Máquinas de soldar y accesorios;23
496;Soldadores de estaño y accesorios;23
560;Taladros y Atornilladores eléctricos;23
637;Martillos demoledores y electroneumáticos;23
638;Mezcladores eléctricos y accesorios;23
639;Niveles y medidores laser;23
1109;Taladros de columna;23
1161;Generadores;23
92;Herramientas agricolas;8
342;Azadas;92
337;Tijeras de podar (Accesorios y recambios);92
343;Serruchos de podar;92
344;Tijeras de podar y recolectar;92
345;Rastrillos y Horcas;92
346;Hachas / Tajamatas / Hoces;92
347;Serruchos de podar (Recambios);92
348;Navajas;92
9;SEGURIDAD Y VESTUARIO;0
830;Protectores auditivos;9
744;Trajes de agua;9
226;Señalización;9
239;Balizas señalización y cinta seguridad;226
240;Pintura trazadora en spray;226
241;Tela balizamiento y setas protectoras;226
893;Carteles fluorescentes;226
894;Carteles no fluorescentes;226
227;Gafas protectoras;9
229;Mascarillas respiratorias y filtros;9
230;Fajas / Rodilleras / Muñequeras;9
231;Arneses, y cinturones de seguridad;9
232;Calzado de seguridad;9
1107;Deportivas seguridad S-3;232
836;Botas seguridad S1P;232
837;Zapatos seguridad S1P;232
838;Deportivas seguridad S1P;232
840;Botas de campo;232
1121;Botas seguridad S-3;232
234;Buzos de trabajo;9
236;Chalecos de trabajo;9
237;Alta visibilidad;9
820;Guantes de piel;9
821;Guantes para soldadores;9
822;Guantes de nitrilo;9
823;Guantes de poliuretano;9
824;Guantes de PVC;9
825;Guantes de algodón;9
826;Guantes domésticos;9
827;Guantes de latex;9
828;Guantes desechables;9
829;Cascos protectores;9
831;Mascarillas desechables;9
832;Guantes de nylon;9
833;Pantallas de soldar;9
834;Protectores faciales;9
846;Chaquetas de trabajo;9
847;Pantalones de trabajo;9
848;Petos de trabajo;9
850;Buzos desechables;9
851;Jerseys de trabajo;9
852;Parkas y Mochilas de trabajo;9
1154;Botas de goma;9
841;Botas goma altas negras;1154
842;Botas goma altas verdes;1154
843;Botas goma bajas negras;1154
844;Botas goma altas verdes Seguridad;1154
845;Botas goma altas verdes de invierno;1154
1158;Mamparas y Rótulos de protección;9
10;FERRETERIA;0
11;Pintura;10
1113;Esmaltes;11
281;Brochas, pinceles y paletinas;11
282;Rodillos y cubetas;11
284;Mezcladores;11
543;Máquinas de pintar;11
544;Máquinas de pintar (Repuestos) ;11
801;Sprays pintura standar;11
802;Sprays pintura trazadores obras;11
803;Sprays de pintura específicos;11
804;Espátulas y rascadores;11
805;Fieltros y plásticos multiusos;11
806;Cintas Maskin-tape;11
807;Pistolas de pintar;11
808;Masillas / Disolventes / Cementos y colas;11
12;Sellantes / Adhesivos / Masillas / Cintas;10
59;Cementos y colas;12
1096;Masilla refractaria;12
452;Colas;12
453;Pegamentos Nural específicos;12
454;Pegamentos Cianocrilatos rápidos;12
455;Pegamentos de contacto;12
456;Pegamentos Pvc y limpiador;12
457;Masilla para madera;12
458;Cinta Americana / Fibra de vidrio;12
459;Cintas de embalar;12
460;Silicona en cartucho;12
461;Silicona en barra;12
462;Pistolas y aplicaddores de silicona;12
463;Anclajes químicos;12
619;Cintas Aislantes;12
620;Cintas Doble cara;12
621;Cintas Maskin-tape;12
622;Cintas PTFE / Sanitaria;12
623;Cintas Autosoldantes / Aluminio;12
624;Cintas Antipájaros;12
625;Cintas Antideslizantes / Fotoluminiscentes;12
630;Reparador de esmalte;12
631;Pegamentos especiales sin clavo y extrafuerte;12
632;Masillas de poliuretano;12
633;Masilla MS Universal elástico;12
634;Masilla de montaje;12
635;Ceras para madera;12
1112;Plásticos y Papel para embalar;12
18;Fijacion y Soportes;10
69;Tornillos;18
598;Tirafondos pozidriv;69
599;Tirafondos exagonales ;69
617;Tornillos broca;69
1101;Tornillos para tiradores muebles;69
73;Soportes TV ;18
74;Ganchos multiuso;18
97;Accesorios para cable  y alambre;18
981;Grilletes;97
982;Guardacabos;97
983;Sujetacables;97
984;Tensores;97
985;Ganchos de carga;97
986;Ganchos uralita;97
987;Ganchos S;97
988;Enganches rápidos de cadena;97
989;Pasadores;97
990;Mosquetones bombero;97
991;Anillas;97
992;Mosquetones de muelle;97
993;Mosquetones anilla giratoria;97
994;Poleas;97
548;Pinzas de sujección;18
597;Ganchos lámpara y accesorios;18
600;Alcayatas;18
601;Hembrillas y Cáncamos;18
602;Arandelas;18
603;Puntas;18
604;Tuercas;18
605;Anclajes;18
606;Anclajes metálicos;605
607;Anclajes químicos;605
608;Bridas;18
609;Abrazaderas;18
770;Abrazaderas metálicas M6;609
771;Abrazaderas reforzadas Super;609
